urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_çözünürlüğü_standardı,ekran_ekran_yenileme_hızı,batarya_batarya_kapasitesi_tipik,batarya_hızlı_şarj,batarya_hızlı_şarj_gücü_maks.,batarya_kablosuz_şarj,kamera_kamera_çözünürlüğü,kamera_optik_görüntü_sabitleyici_ois,kamera_video_kayıt_çözünürlüğü,kamera_video_fps_değeri,kamera_ön_kamera_çözünürlüğü,temel_donanim_cpu_çekirdeği,temel_donanim_cpu_üretim_teknolojisi,temel_donanim_antutu_puanı_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalınlık,tasarim_ağırlık,tasarim_gövde_malzemesi_kapak,ağ_bağlantilari_5g,ağ_bağlantilari_4.5g_desteği,ağ_bağlantilari_4g,ağ_bağlantilari_2g,ağ_bağlantilari_3g,kablosuz_bağlantilar_bluetooth_versiyonu,kablosuz_bağlantilar_nfc,i̇şleti̇m_si̇stemi̇_i̇şletim_sistemi,özelli̇kler_suya_dayanıklılık
64.0,6.7,Super AMOLED,FHD+,120.0,5000.0,Var,45.0,Yok,50.0,Var,2160p (Ultra HD) 4K,30.0,12.0,8.0,4.0,910.5,8.0,128.0,7.4,198.0,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
93.0,6.9,AMOLED,FHD+,120.0,6500.0,Var,100.0,Var,50.0,Var,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2720000.0,12.0,256.0,8.05,220.0,,Var,Var,Var,Var,Var,6.0,Var,Android,Var
73.0,6.2,Dynamic AMOLED,FHD+,120.0,4000.0,Var,25.0,Var,50.0,Var,4320p (Ultra HD) 8K,30.0,12.0,10.0,4.0,1588900.0,8.0,128.0,7.6,167.0,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
89.0,6.85,AMOLED,FHD+,144.0,7500.0,Var,80.0,Var,50.0,Var,4320p (Ultra HD) 8K,30.0,16.0,8.0,3.0,2974500.0,12.0,256.0,8.9,230.0,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
66.0,6.1,OLED,FHD+,60.0,3279.0,Var,20.0,Var,12.0,Var,2160p (Ultra HD) 4K,60.0,12.0,6.0,5.0,1381900.0,6.0,128.0,7.8,172.0,Cam,Var,Var,Var,Var,Var,5.3,Var,iOS,Var
65.0,6.4,Dynamic AMOLED,FHD+,120.0,4500.0,Var,25.0,Var,12.0,Var,2160p (Ultra HD) 4K,60.0,32.0,8.0,5.0,941.4,8.0,128.0,7.9,177.0,Polimer (Cam Görünümlü),Var,Var,Var,Var,Var,5.0,Var,Android,Var
81.0,6.31,AMOLED,FHD+,120.0,6500.0,Var,90.0,Yok,50.0,Var,2160p (Ultra HD) 4K,60.0,50.0,8.0,4.0,1939800.0,12.0,256.0,7.99,186.0,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
69.0,6.67,AMOLED,FHD+,120.0,5000.0,Var,120.0,Yok,200.0,Var,2160p (Ultra HD) 4K,30.0,16.0,8.0,4.0,742.5,12.0,512.0,8.9,204.5,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
60.0,6.57,AMOLED,FHD+,120.0,7000.0,Var,80.0,Yok,50.0,Yok,1080p (Full HD),60.0,16.0,8.0,6.0,428.0,8.0,256.0,8.0,188.0,,Yok,Var,Var,Var,Var,5.4,Var,Android,Var
60.0,6.67,AMOLED,FHD+,120.0,5000.0,Var,67.0,Yok,50.0,Var,2160p (Ultra HD) 4K,30.0,16.0,8.0,6.0,599.6,8.0,256.0,7.87,190.0,Kauçuk/Plastik (Deri Görünümlü),Var,Var,Var,Var,Var,5.2,Var,Android,Var
96.0,6.9,AMOLED,FHD+,120.0,6500.0,Var,100.0,Var,50.0,Var,4320p (Ultra HD) 8K,30.0,32.0,8.0,3.0,2964400.0,16.0,512.0,8.05,220.0,,Var,Var,Var,Var,Var,6.0,Var,Android,Var
95.0,6.85,AMOLED,FHD+,144.0,7200.0,Var,80.0,Var,50.0,Var,4320p (Ultra HD) 8K,30.0,16.0,8.0,3.0,2941800.0,16.0,512.0,8.6,227.0,Cam,Var,Var,Var,Var,Var,6.0,Var,Android,Var
90.0,6.3,OLED,FHD+,120.0,3988.0,Var,40.0,Var,48.0,Var,2160p (Ultra HD) 4K,60.0,18.0,6.0,3.0,2430600.0,12.0,512.0,8.75,204.0,Cam,Var,Var,Var,Var,Var,6.0,Var,iOS,Var
50.0,6.7,Super AMOLED,FHD+,90.0,5000.0,Var,25.0,Yok,50.0,Var,1080p (Full HD),30.0,13.0,8.0,6.0,428.1,4.0,128.0,7.5,190.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.3,Var,Android,Var
83.0,6.67,AMOLED,FHD+,144.0,5000.0,Var,120.0,Var,50.0,Var,4320p (Ultra HD) 8K,30.0,32.0,8.0,4.0,2017000.0,12.0,512.0,8.39,209.0,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
69.0,6.67,AMOLED,FHD+,120.0,5110.0,Var,120.0,Yok,200.0,Var,2160p (Ultra HD) 4K,30.0,20.0,8.0,4.0,750.3,12.0,512.0,8.75,210.0,Cam | Kauçuk/Plastik (Deri Görünümlü),Var,Var,Var,Var,Var,5.4,Var,Android,Var
84.0,6.8,Dynamic AMOLED,QHD+,120.0,5000.0,Var,45.0,Var,200.0,Var,4320p (Ultra HD) 8K,30.0,12.0,8.0,4.0,2043500.0,12.0,512.0,8.6,232.0,Cam,Var,Var,Var,Var,Var,5.3,Var,Android,Var
83.0,6.36,AMOLED,FHD+,120.0,4610.0,Var,90.0,Var,50.0,Var,4320p (Ultra HD) 8K,24.0,32.0,8.0,4.0,1996900.0,12.0,256.0,8.2,193.0,Cam,Var,Var,Var,Var,Var,5.4,Var,Android,Var
43.0,6.88,IPS LCD,HD+,120.0,5160.0,Var,,Yok,50.0,Yok,1080p (Full HD),30.0,13.0,8.0,12.0,270.1,8.0,256.0,8.22,211.0,Kauçuk/Plastik (Deri Görünümlü) | Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.4,Yok,Android,Var
60.0,6.67,AMOLED,FHD+,120.0,5000.0,Var,67.0,Yok,50.0,Var,2160p (Ultra HD) 4K,30.0,16.0,8.0,6.0,585.1,8.0,256.0,7.9,187.0,Cam,Var,Var,Var,Var,Var,5.2,Var,Android,Var
54.0,6.78,AMOLED,FHD+,120.0,5000.0,Var,33.0,Yok,50.0,Var,1440p (Quad HD) 2K,30.0,13.0,8.0,6.0,412.4,8.0,256.0,7.62,180.0,Plastik (Cam Görünümlü),Yok,Var,Var,Var,Var,5.3,Var,Android,Var
