urun_fiyat,urun_puan,ekran_ekran_boyutu,ekran_ekran_teknolojisi,ekran_ekran_cozunurlugu_standardi,ekran_ekran_yenileme_hizi,ekran_ekran_dayanikliligi,batarya_batarya_kapasitesi_tipik,batarya_hizli_sarj,batarya_hizli_sarj_gucu_maks,batarya_kablosuz_sarj,kamera_kamera_cozunurlugu,kamera_optik_goruntu_sabitleyici_ois,kamera_video_kayit_cozunurlugu,kamera_video_fps_degeri,kamera_on_kamera_cozunurlugu,temel_donanim_cpu_cekirdegi,temel_donanim_cpu_uretim_teknolojisi,temel_donanim_antutu_puani_v10,temel_donanim_bellek_ram,temel_donanim_dahili_depolama,tasarim_kalinlik,tasarim_agirlik,tasarim_govde_malzemesi_kapak,ag_baglantilari_5g,kablosuz_baglantilar_bluetooth_versiyonu,kablosuz_baglantilar_nfc,isletim_sistemi_isletim_sistemi,ozellikler_suya_dayaniklilik,ozellikler_suya_dayaniklilik_seviyesi,temel_donanim_yonga_seti_marka
11349.0,53.0,6.9,IPS LCD,FHD+,144,,7000,Var,33.0,0,50,0.0,1080p (Full HD),30 fps,8.0,8 Çekirdek,6,372.100 Puan,8.0,256,8.4,214.0,,Yok,5.0,Var,Android,1.0,IPX4,Qualcomm
31150.0,80.0,6.83,AMOLED,FHD+,120,Corning Gorilla Glass 7i,5500,Var,67.0,0,50,1.0,2160p (Ultra HD) 4K,60 fps,32.0,8 Çekirdek,4,1.640.700 Puan,12.0,512,7.5,194.0,Plastik (Cam Görünümlü),Var,6.0,Var,Android,1.0,IPX8,MediaTek
11522.08,56.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass 5,5500,Var,33.0,0,108,0.0,1080p (Full HD),60 fps,20.0,8 Çekirdek,6,443.500 Puan,8.0,256,8.16,196.5,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,1.0,IPX4,MediaTek
16224.86,61.0,6.7,Super AMOLED,FHD+,120,Corning Gorilla Glass Victus+,5000,Var,45.0,0,50,1.0,2160p (Ultra HD) 4K,30 fps,12.0,8 Çekirdek,4,655.200 Puan,8.0,128,7.4,195.0,Cam,Var,5.4,Var,Android,1.0,IPX7,Qualcomm
72212.93,79.0,6.1,OLED,FHD+,120,Corning Ceramic Shield Glass,3274,Var,20.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,3,1.791.300 Puan,8.0,128,8.25,187.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
15438.18,63.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass Victus,5100,Var,67.0,0,200,1.0,2160p (Ultra HD) 4K,30 fps,16.0,8 Çekirdek,4,581.500 Puan,8.0,256,7.98,187.0,Cam,Var,5.2,Var,Android,1.0,IPX4,Qualcomm
78489.9,94.0,6.73,AMOLED,QHD+,120,Xiaomi Shield Glass 2,5410,Var,90.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,32.0,8 Çekirdek,3,2.661.600 Puan,16.0,512,9.48,226.0,,Var,6.0,Var,Android,1.0,IPX8,Qualcomm
49400.0,82.0,6.7,Dynamic AMOLED,QHD+,120,Corning Gorilla Glass Ceramic 2,3900,Var,25.0,1,200,1.0,4320p (Ultra HD) 8K,30 fps,12.0,8 Çekirdek,3,2.161.200 Puan,12.0,256,5.8,163.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
29508.46,73.0,6.7,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus+,4700,Var,25.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,10.0,10 Çekirdek,4,1.832.742 Puan,8.0,256,8.0,213.0,Cam,Var,5.3,Var,Android,1.0,IPX8,Samsung Exynos
54076.8,90.0,6.36,AMOLED,FHD+,120,Xiaomi Shield Glass,5240,Var,90.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,32.0,8 Çekirdek,3,2.692.300 Puan,12.0,512,8.08,191.0,,Var,6.0,Var,Android,1.0,IPX8,Qualcomm
19212.0,63.0,6.78,AMOLED,FHD+,144,Corning Gorilla Glass 7i,5200,Var,45.0,0,50,1.0,2160p (Ultra HD) 4K,30 fps,50.0,8 Çekirdek,4,733.500 Puan,8.0,256,7.29,178.0,,Var,5.4,Var,Android,1.0,IPX9,MediaTek
11079.0,53.0,6.7,Super AMOLED,FHD+,90,Corning Gorilla Glass Victus,5000,Var,25.0,0,50,1.0,1080p (Full HD),30 fps,13.0,8 Çekirdek,5,445.300 Puan,6.0,128,7.5,192.0,,Var,5.3,Var,Android,1.0,IPX4,Samsung Exynos
17700.93,65.0,6.4,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus,4500,Var,25.0,1,12,1.0,2160p (Ultra HD) 4K,60 fps,32.0,8 Çekirdek,5,955.800 Puan,8.0,128,7.9,177.0,Polimer (Cam Görünümlü),Var,5.0,Var,Android,1.0,IPX8,Qualcomm
23237.75,67.0,6.55,AMOLED,FHD+,120,,6000,Var,80.0,0,200,1.0,2160p (Ultra HD) 4K,30 fps,50.0,8 Çekirdek,4,838.600 Puan,8.0,256,7.3,184.0,,Var,5.4,Var,Android,1.0,IPX6,Qualcomm
11699.0,,6.67,IPS LCD,HD+,120,,6000,Var,45.0,0,50,0.0,1080p (Full HD),30 fps,8.0,8 Çekirdek,6,,8.0,256,7.99,194.0,,Var,5.4,Var,Android,1.0,IPX5,MediaTek
14806.61,57.0,6.78,AMOLED,FHD+,144,Corning Gorilla Glass 7i,5160,Var,45.0,0,50,0.0,1440p (Quad HD) 2K,30 fps,13.0,8 Çekirdek,6,449.900 Puan,8.0,256,6.09,156.0,,Var,5.4,Var,Android,1.0,IPX4,MediaTek
67949.0,77.0,6.7,OLED,FHD+,60,Corning Ceramic Shield Glass (Gen2),4674,Var,30.0,1,48,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,3,1.572.700 Puan,8.0,128,7.8,199.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
24399.0,69.0,6.55,AMOLED,FHD+,120,,6000,Var,80.0,0,200,1.0,2160p (Ultra HD) 4K,30 fps,50.0,8 Çekirdek,4,848.100 Puan,12.0,256,7.3,184.0,,Var,5.4,Var,Android,1.0,IPX6,Qualcomm
26790.0,76.0,6.67,AMOLED,FHD+,144,Corning Gorilla Glass 5,5000,Var,67.0,0,50,1.0,2160p (Ultra HD) 4K,60 fps,32.0,8 Çekirdek,4,1.359.000 Puan,12.0,512,7.8,195.0,Plastik (Cam Görünümlü),Var,5.4,Var,Android,1.0,IPX8,MediaTek
52224.85,78.0,6.8,Dynamic AMOLED,QHD+,120,Corning Gorilla Glass Victus 2,5000,Var,45.0,1,200,1.0,4320p (Ultra HD) 8K,30 fps,12.0,8 Çekirdek,4,1.542.300 Puan,8.0,256,8.9,233.0,Cam,Var,5.3,Var,Android,1.0,IPX8,Qualcomm
16185.0,63.0,6.67,AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,5500,Var,45.0,0,200,1.0,1080p (Full HD),60 fps,32.0,8 Çekirdek,6,452.700 Puan,12.0,512,8.24,180.0,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,1.0,IPX4,MediaTek
9199.0,48.0,6.7,Super AMOLED,FHD+,90,,5000,Var,25.0,0,50,0.0,1080p (Full HD),30 fps,13.0,8 Çekirdek,6,387.400 Puan,4.0,128,7.9,200.0,Plastik (Cam Görünümlü),Yok,5.3,Var,Android,1.0,IPX4,MediaTek
32849.0,76.0,6.59,AMOLED,FHD+,120,Corning Gorilla Glass 7i,6000,Var,80.0,0,50,1.0,2160p (Ultra HD) 4K,60 fps,50.0,8 Çekirdek,4,1.384.000 Puan,12.0,256,7.42,187.0,,Var,5.4,Var,Android,1.0,IPX9,MediaTek
20399.0,64.0,6.7,Super AMOLED,FHD+,120,Corning Gorilla Glass Victus+,5000,Var,45.0,0,50,1.0,2160p (Ultra HD) 4K,30 fps,12.0,8 Çekirdek,4,910.500 Puan,8.0,128,7.4,198.0,Cam,Var,5.3,Var,Android,1.0,IPX7,Samsung Exynos
54999.0,93.0,6.9,AMOLED,FHD+,120,Poco Shield Glass,6500,Var,100.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,32.0,8 Çekirdek,3,2.720.000 Puan,12.0,256,8.05,220.0,,Var,6.0,Var,Android,1.0,IPX8,Qualcomm
15898.13,,6.77,AMOLED,FHD+,120,Corning Gorilla Glass 7i,6000,Var,33.0,0,108,0.0,1080p (Full HD),60 fps,20.0,8 Çekirdek,6,421.300 Puan,8.0,256,7.94,183.7,,Yok,5.3,Var,Android,1.0,IPX4,MediaTek
32470.0,73.0,6.2,Dynamic AMOLED,FHD+,120,Corning Gorilla Glass Victus 2,4000,Var,25.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,12.0,10 Çekirdek,4,1.588.900 Puan,8.0,128,7.6,167.0,Cam,Var,5.3,Var,Android,1.0,IPX8,Samsung Exynos
59998.38,89.0,6.85,AMOLED,FHD+,144,Corning Gorilla Glass,7500,Var,80.0,1,50,1.0,4320p (Ultra HD) 8K,30 fps,16.0,8 Çekirdek,3,2.974.500 Puan,12.0,256,8.9,230.0,Cam,Var,5.4,Var,Android,1.0,IPX8,Qualcomm
32500.0,66.0,6.1,OLED,FHD+,60,Corning Ceramic Shield Glass,3279,Var,20.0,1,12,1.0,2160p (Ultra HD) 4K,60 fps,12.0,6 Çekirdek,5,1.381.900 Puan,6.0,128,7.8,172.0,Cam,Var,5.3,Var,iOS,1.0,IPX8,Apple
56999.0,,6.32,OLED,FHD+,120,Corning Gorilla Glass 7i,6200,Var,80.0,0,200,1.0,2160p (Ultra HD) 4K,60 fps,50.0,8 Çekirdek,4,,12.0,512,8.13,188.0,,Var,5.4,Var,Android,1.0,IPX9,MediaTek
